ID;ESTADO;
1;'En ampliacion';
2;'En funcionamiento';
3;'En funcionamiento';
4;'En funcionamiento';
5;'En funcionamiento';
6;'En funcionamiento';
7;'En funcionamiento';
8;'En funcionamiento';
9;'En funcionamiento';
10;'En funcionamiento';
11;'En funcionamiento';
12;'En funcionamiento';
13;'En funcionamiento';
14;'En funcionamiento';
15;'En funcionamiento';
16;'En funcionamiento';
17;'En funcionamiento';
18;'En funcionamiento';
19;'En mantenimiento';
20;'En funcionamiento';
21;'En funcionamiento';
22;'En funcionamiento';
23;'En funcionamiento';
24;'En funcionamiento';
25;'En funcionamiento';
26;'En funcionamiento';
27;'En funcionamiento';
28;'En funcionamiento';
29;'En funcionamiento';
30;'En funcionamiento';
31;'En funcionamiento';
32;'En funcionamiento';
33;'En funcionamiento';
34;'En funcionamiento';
35;'En funcionamiento';
36;'En funcionamiento';
37;'En funcionamiento';
38;'En funcionamiento';
39;'En funcionamiento';
40;'En funcionamiento';
41;'En funcionamiento';
42;'En funcionamiento';
43;'En funcionamiento';
44;'En ampliacion';
45;'En funcionamiento';
46;'En funcionamiento';
47;'En funcionamiento';
48;'En funcionamiento';
49;'En funcionamiento';
50;'En funcionamiento';
51;'En funcionamiento';
52;'En funcionamiento';
53;'En funcionamiento';
54;'En funcionamiento';
55;'En funcionamiento';
56;'En funcionamiento';
57;'En funcionamiento';
58;'En ampliacion';
59;'En ampliacion';
60;'En funcionamiento';
61;'En mantenimiento';
62;'En funcionamiento';
63;'En funcionamiento';
64;'En funcionamiento';
65;'En funcionamiento';
66;'En funcionamiento';
67;'En funcionamiento';
68;'En funcionamiento';
69;'En funcionamiento';
70;'En funcionamiento';
71;'En funcionamiento';
72;'En funcionamiento';
73;'En funcionamiento';
74;'En funcionamiento';
75;'En funcionamiento';
76;'En funcionamiento';
77;'En funcionamiento';
78;'En funcionamiento';
79;'En funcionamiento';
80;'En funcionamiento';
81;'En funcionamiento';
82;'En funcionamiento';
83;'En mantenimiento';
84;'En funcionamiento';
85;'En funcionamiento';
86;'En funcionamiento';
87;'En funcionamiento';
88;'En funcionamiento';
89;'En funcionamiento';
90;'En funcionamiento';
91;'En funcionamiento';
92;'En funcionamiento';
93;'En funcionamiento';
94;'En funcionamiento';
95;'En mantenimiento';
96;'En funcionamiento';
97;'En funcionamiento';
98;'En funcionamiento';
99;'En funcionamiento';
100;'En funcionamiento';
101;'En funcionamiento';
102;'En funcionamiento';
103;'En funcionamiento';
104;'En funcionamiento';
105;'En funcionamiento';
106;'En funcionamiento';
107;'En funcionamiento';
108;'En funcionamiento';
109;'En funcionamiento';
110;'En funcionamiento';
111;'En funcionamiento';
112;'En ampliacion';
113;'En funcionamiento';
114;'En funcionamiento';
115;'En funcionamiento';
116;'En funcionamiento';
117;'En funcionamiento';
118;'En funcionamiento';
119;'En mantenimiento';
120;'En funcionamiento';
121;'En funcionamiento';
122;'En ampliacion';
123;'En funcionamiento';
124;'En funcionamiento';
125;'En funcionamiento';
126;'En funcionamiento';
127;'En funcionamiento';
128;'En funcionamiento';
129;'En funcionamiento';
130;'En ampliacion';
131;'En funcionamiento';
132;'En funcionamiento';
133;'En funcionamiento';
134;'En funcionamiento';
135;'En funcionamiento';
136;'En mantenimiento';
137;'En funcionamiento';
138;'En funcionamiento';
139;'En funcionamiento';
140;'En funcionamiento';
141;'En funcionamiento';
142;'En mantenimiento';
143;'En funcionamiento';
144;'En funcionamiento';
145;'En funcionamiento';
146;'En funcionamiento';
147;'En funcionamiento';
148;'En funcionamiento';
149;'En funcionamiento';
150;'En funcionamiento';
151;'En funcionamiento';
152;'En funcionamiento';
153;'En funcionamiento';
154;'En funcionamiento';
155;'En funcionamiento';
156;'En mantenimiento';
157;'En funcionamiento';
158;'En funcionamiento';
159;'En funcionamiento';
160;'En funcionamiento';
161;'En funcionamiento';
162;'En funcionamiento';
163;'En funcionamiento';
164;'En funcionamiento';
165;'En funcionamiento';
166;'En funcionamiento';
167;'En funcionamiento';
168;'En funcionamiento';
169;'En funcionamiento';
170;'En funcionamiento';
171;'En funcionamiento';
172;'En funcionamiento';
173;'En funcionamiento';
174;'En funcionamiento';
175;'En funcionamiento';
176;'En funcionamiento';
177;'En funcionamiento';
178;'En funcionamiento';
179;'En funcionamiento';
180;'En funcionamiento';
181;'En funcionamiento';
182;'En funcionamiento';
183;'En funcionamiento';
184;'En mantenimiento';
185;'En funcionamiento';
186;'En funcionamiento';
187;'En funcionamiento';
188;'En funcionamiento';
189;'En funcionamiento';
190;'En funcionamiento';
191;'En funcionamiento';
192;'En funcionamiento';
193;'En funcionamiento';
194;'En ampliacion';
195;'En funcionamiento';
196;'En funcionamiento';
197;'En funcionamiento';
198;'En funcionamiento';
199;'En funcionamiento';
200;'En funcionamiento';
201;'En funcionamiento';
202;'En funcionamiento';
203;'En funcionamiento';
204;'En funcionamiento';
205;'En funcionamiento';
206;'En funcionamiento';
207;'En funcionamiento';
208;'En funcionamiento';
209;'En funcionamiento';
210;'En funcionamiento';
211;'En funcionamiento';
212;'En funcionamiento';
213;'En funcionamiento';
214;'En funcionamiento';
215;'En funcionamiento';
216;'En funcionamiento';
217;'En funcionamiento';
218;'En funcionamiento';
219;'En ampliacion';
220;'En funcionamiento';
221;'En funcionamiento';
222;'En funcionamiento';
223;'En funcionamiento';
224;'En funcionamiento';
225;'En funcionamiento';
226;'En funcionamiento';
227;'En funcionamiento';
228;'En funcionamiento';
229;'En funcionamiento';
230;'En funcionamiento';
231;'En mantenimiento';
232;'En funcionamiento';
233;'En funcionamiento';
234;'En funcionamiento';
235;'En funcionamiento';
236;'En ampliacion';
237;'En funcionamiento';
238;'En funcionamiento';
239;'En mantenimiento';
240;'En funcionamiento';
241;'En funcionamiento';
242;'En funcionamiento';
243;'En funcionamiento';
244;'En funcionamiento';
245;'En funcionamiento';
246;'En funcionamiento';
247;'En funcionamiento';
248;'En funcionamiento';
249;'En funcionamiento';
250;'En funcionamiento';
251;'En funcionamiento';
252;'En funcionamiento';
253;'En funcionamiento';
254;'En funcionamiento';
255;'En funcionamiento';
256;'En funcionamiento';
257;'En funcionamiento';
258;'En funcionamiento';
259;'En funcionamiento';
260;'En funcionamiento';
261;'En funcionamiento';
262;'En funcionamiento';
263;'En funcionamiento';
264;'En funcionamiento';
265;'En funcionamiento';
266;'En funcionamiento';
267;'En mantenimiento';
268;'En funcionamiento';
269;'En funcionamiento';
270;'En ampliacion';
271;'En funcionamiento';
272;'En funcionamiento';
273;'En funcionamiento';
274;'En funcionamiento';
275;'En funcionamiento';
276;'En funcionamiento';
277;'En funcionamiento';
278;'En funcionamiento';
279;'En funcionamiento';
280;'En funcionamiento';
281;'En funcionamiento';
282;'En funcionamiento';
283;'En funcionamiento';
284;'En funcionamiento';
285;'En funcionamiento';
286;'En funcionamiento';
287;'En funcionamiento';
288;'En funcionamiento';
289;'En funcionamiento';
290;'En funcionamiento';
291;'En funcionamiento';
292;'En funcionamiento';
293;'En funcionamiento';
294;'En funcionamiento';
295;'En funcionamiento';
296;'En ampliacion';
297;'En funcionamiento';
298;'En funcionamiento';
299;'En funcionamiento';
300;'En funcionamiento';
301;'En funcionamiento';
302;'En funcionamiento';
303;'En funcionamiento';
304;'En funcionamiento';
305;'En funcionamiento';
306;'En funcionamiento';
307;'En funcionamiento';
308;'En mantenimiento';
309;'En funcionamiento';
310;'En mantenimiento';
311;'En funcionamiento';
312;'En funcionamiento';
313;'En funcionamiento';
314;'En funcionamiento';
315;'En funcionamiento';
316;'En mantenimiento';
317;'En funcionamiento';
318;'En mantenimiento';
319;'En funcionamiento';
320;'En funcionamiento';
321;'En funcionamiento';
322;'En funcionamiento';
323;'En funcionamiento';
324;'En funcionamiento';
325;'En funcionamiento';
326;'En funcionamiento';
327;'En funcionamiento';
328;'En funcionamiento';
329;'En funcionamiento';
330;'En funcionamiento';
331;'En funcionamiento';
332;'En funcionamiento';
333;'En funcionamiento';
334;'En funcionamiento';
335;'En funcionamiento';
