COD_BODEGA;COD_PEDIDO;
3018;7297585;
670;9614683;
2236;9614683;
1112;9614683;
897;8827977;
3176;8827977;
391;2486849;
1633;2486849;
874;5269705;
2661;5269705;
3555;5269705;
2068;7949032;
3925;4252112;
223;4252112;
244;6220574;
856;9433546;
1084;8142583;
501;8142583;
2566;8142583;
98;8142583;
126;8793116;
282;8793116;
1518;1175183;
3565;3194164;
4472;3194164;
98;3194164;
4272;3194164;
1849;1328534;
1796;1328534;
3635;1328534;
1311;7091659;
1699;7091659;
4236;7091659;
1010;7091659;
3183;7091659;
4245;3174707;
349;5668910;
4242;1770984;
2927;1770984;
1527;1770984;
589;2979124;
2802;2979124;
1650;2979124;
1723;2979124;
2367;2979124;
1961;9019520;
2775;9019520;
1543;9019520;
2233;9019520;
3809;9019520;
1949;5926543;
2988;5926543;
4324;5926543;
4186;5926543;
1875;5428461;
4226;5428461;
1413;5428461;
3886;3783718;
1070;3783718;
2526;3783718;
1038;3783718;
3953;3783718;
2939;5006524;
305;5006524;
2130;2955462;
2801;2955462;
4025;2955462;
3497;4738583;
2029;4738583;
518;9675368;
689;9675368;
3616;9675368;
1883;6576838;
4049;6576838;
753;6576838;
2629;5298105;
2717;5298105;
4227;5298105;
796;5298105;
2702;8460861;
3658;8460861;
3800;8460861;
1620;2525631;
4111;2525631;
1774;6851288;
1966;9511562;
2505;7058370;
3746;9854136;
1401;9854136;
3213;9854136;
1464;9854136;
4151;9854136;
139;1618725;
3832;1618725;
4007;1618725;
4151;1618725;
1571;991477;
1577;131741;
4042;8077433;
3378;8077433;
2031;9659238;
195;9659238;
2386;9659238;
573;1659308;
10;1659308;
2935;1659308;
3687;1659308;
1228;7975814;
2534;7975814;
2576;7330253;
615;7330253;
4366;7330253;
2568;5456062;
898;5456062;
4189;1880354;
3058;1880354;
2617;1880354;
2661;1880354;
3817;3533146;
2192;4938114;
4177;4938114;
2457;4938114;
4099;4938114;
2840;4938114;
1714;7164405;
718;7164405;
269;6063717;
4347;6063717;
2806;6063717;
3287;6063717;
2267;6063717;
1824;7563838;
244;7563838;
4015;7563838;
3046;9398423;
4230;9398423;
193;9398423;
4229;9398423;
3504;7029626;
2756;7029626;
3336;7029626;
3471;8782033;
92;8782033;
343;8782033;
1182;7960890;
1002;7960890;
3252;7960890;
1115;7960890;
856;7960890;
1802;7266084;
2529;7266084;
1519;7266084;
914;7266084;
3510;9105973;
2361;9105973;
1786;8233445;
2094;5012960;
1372;5012960;
1192;5012960;
1060;5012960;
3786;106857;
3235;1633900;
4463;1633900;
3268;2252995;
2378;2252995;
1545;374765;
2202;374765;
2936;4937969;
4051;4937969;
3016;6568980;
3506;6568980;
1974;6568980;
1965;6568980;
1336;6568980;
2646;8571612;
3399;8571612;
2412;8571612;
140;8571612;
166;8571612;
4184;1414383;
2643;1414383;
2133;1414383;
3532;4158890;
2579;4158890;
616;4158890;
3765;4158890;
2083;6207881;
2983;6207881;
3463;6207881;
3694;6207881;
490;9682738;
3726;9682738;
884;4286603;
341;4286603;
3279;4286603;
1748;4286603;
4377;4286603;
2542;9781205;
452;9781205;
953;5230631;
836;5230631;
10;5230631;
3254;9974399;
3328;7933359;
261;7933359;
145;7933359;
175;7933359;
1446;5324458;
1009;9796285;
1876;9796285;
1963;9796285;
3194;9796285;
3116;7146380;
1720;7146380;
3772;7146380;
2992;9394009;
1081;9394009;
3105;9394009;
1791;9394009;
2764;5518103;
1387;5518103;
1664;5518103;
2593;6184062;
4394;6184062;
2177;8253259;
828;8253259;
4207;8253259;
4414;8253259;
2044;6438743;
2847;6438743;
2443;6438743;
2229;6438743;
2107;7476826;
573;7476826;
3153;7476826;
3904;7476826;
1414;9788661;
2256;9788661;
832;9788661;
1040;9788661;
3964;4018594;
3365;4018594;
612;4018594;
1430;397193;
991;397193;
2210;9592868;
1733;9592868;
3145;9592868;
3852;9592868;
97;1045227;
1763;1045227;
4189;1045227;
1524;1045227;
1209;1045227;
3503;1965850;
1876;1965850;
4498;1965850;
3532;1965850;
2434;6545488;
646;6545488;
2727;6545488;
3986;6212278;
791;6212278;
2830;6212278;
4201;6212278;
864;5136720;
4292;3803981;
631;3803981;
1161;64851;
2028;5281029;
807;1278358;
2465;7139237;
3898;7139237;
1305;7139237;
2266;7240074;
2427;7240074;
3253;7240074;
2296;6877125;
2730;6877125;
3783;6877125;
39;6877125;
3554;5433838;
2643;5433838;
395;5433838;
71;5433838;
1120;5433838;
