ID;COD_TIPO_PRODUCTO;NOMBRE;CAPACIDAD;
1;2;'Bodega 79436';544086.0;
2;2;'Bodega 59701';672363.6;
3;3;'Bodega 82789';574670.7;
4;2;'Bodega 21069';825684.8;
5;3;'Bodega 75947';834464.6;
6;1;'Bodega 55351';591857.9;
7;2;'Bodega 89406';887373.6;
8;2;'Bodega 77917';671443.1;
9;1;'Bodega 17864';697338.5;
10;3;'Bodega 31562';678132.1;
11;3;'Bodega 77818';736741.6;
12;1;'Bodega 74277';905776.3;
13;1;'Bodega 42453';610723.9;
14;1;'Bodega 98830';982335.6;
15;1;'Bodega 75136';759643.5;
16;1;'Bodega 57634';621794.8;
17;2;'Bodega 71278';706270.1;
18;3;'Bodega 96372';793467.8;
19;3;'Bodega 94097';764818.7;
20;2;'Bodega 28200';871140.2;
21;1;'Bodega 44589';655921.4;
22;2;'Bodega 60317';788619.4;
23;3;'Bodega 40792';624804.6;
24;1;'Bodega 23499';794154.3;
25;1;'Bodega 95074';542419.7;
26;1;'Bodega 66901';979193.7;
27;3;'Bodega 87367';962708.6;
28;1;'Bodega 21851';960009.1;
29;3;'Bodega 65436';739563.9;
30;2;'Bodega 47784';602108.5;
31;2;'Bodega 66922';920524.4;
32;3;'Bodega 48910';815014.1;
33;3;'Bodega 59690';636809.4;
34;1;'Bodega 76454';964162.2;
35;3;'Bodega 64703';656521.3;
36;3;'Bodega 36054';932354.3;
37;2;'Bodega 40488';702913.7;
38;1;'Bodega 1941';925174.8;
39;3;'Bodega 39062';702686.8;
40;1;'Bodega 79406';801122.6;
41;2;'Bodega 86949';916623.4;
42;1;'Bodega 18995';834040.9;
43;3;'Bodega 96840';791694.6;
44;2;'Bodega 79975';915060.8;
45;2;'Bodega 74983';904801.9;
46;2;'Bodega 71949';775742.2;
47;3;'Bodega 6543';762290.7;
48;3;'Bodega 99640';960113.1;
49;1;'Bodega 87776';920334.0;
50;3;'Bodega 30157';821789.7;
51;2;'Bodega 29102';766065.9;
52;3;'Bodega 10692';572623.8;
53;3;'Bodega 68081';690782.0;
54;1;'Bodega 76179';654465.5;
55;3;'Bodega 4706';954754.9;
56;1;'Bodega 99292';773605.2;
57;3;'Bodega 88322';975876.4;
58;1;'Bodega 88166';581256.2;
59;2;'Bodega 44640';707869.0;
60;1;'Bodega 80786';526215.5;
61;3;'Bodega 41916';996683.0;
62;3;'Bodega 57302';602060.3;
63;3;'Bodega 5298';666651.5;
64;1;'Bodega 96127';912083.0;
65;3;'Bodega 33829';826045.6;
66;3;'Bodega 2560';930874.4;
67;1;'Bodega 49624';791622.7;
68;1;'Bodega 53484';653869.7;
69;2;'Bodega 27562';975762.9;
70;1;'Bodega 59358';744809.1;
71;3;'Bodega 3109';981301.2;
72;1;'Bodega 92850';569884.8;
73;3;'Bodega 45821';562991.5;
74;1;'Bodega 43723';951181.4;
75;2;'Bodega 81239';901803.7;
76;1;'Bodega 50429';688575.4;
77;3;'Bodega 90968';559955.6;
78;2;'Bodega 12912';502269.3;
79;1;'Bodega 32079';708023.6;
80;1;'Bodega 54433';875262.4;
81;1;'Bodega 84138';870501.0;
82;3;'Bodega 80417';532196.8;
83;1;'Bodega 31008';904662.9;
84;3;'Bodega 99083';736103.3;
85;2;'Bodega 76385';579952.2;
86;1;'Bodega 58887';848563.0;
87;1;'Bodega 86290';969724.9;
88;1;'Bodega 95443';963216.0;
89;2;'Bodega 13625';731924.7;
90;3;'Bodega 55768';581973.8;
91;3;'Bodega 42705';840066.4;
92;1;'Bodega 79765';542416.5;
93;3;'Bodega 79330';506606.6;
94;3;'Bodega 25389';564820.9;
95;2;'Bodega 48082';931516.4;
96;2;'Bodega 73919';602763.3;
97;1;'Bodega 45682';986159.7;
98;2;'Bodega 67126';650349.6;
99;1;'Bodega 3565';698511.8;
100;2;'Bodega 29512';520250.6;
101;1;'Bodega 37049';809126.2;
102;3;'Bodega 16104';966455.2;
