NUMERO;COD_LUGAR_ORIGEN;COD_LUGAR_DESTINO;FECHA_MOVIMIENTO;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD
521010;3018;6462;TO_DATE('2013-07-11','YYYY-MM-DD');60;12;10;
6850976;897;5789;TO_DATE('2014-04-20','YYYY-MM-DD');52;4;10;
5550976;897;5290;TO_DATE('2014-04-16','YYYY-MM-DD');52;4;9;
3897766;1213;5898;TO_DATE('2013-10-20','YYYY-MM-DD');31;10;10;
6845863;1213;5064;TO_DATE('2013-10-19','YYYY-MM-DD');31;10;10;
5114406;711;4706;TO_DATE('2013-07-22','YYYY-MM-DD');64;27;1;
5748828;711;6404;TO_DATE('2013-07-29','YYYY-MM-DD');61;18;6;
3816880;425;4734;TO_DATE('2013-09-29','YYYY-MM-DD');71;17;3;
415826;425;5048;TO_DATE('2013-10-03','YYYY-MM-DD');24;28;7;
8819613;425;5781;TO_DATE('2013-10-06','YYYY-MM-DD');71;17;3;
7135437;425;5725;TO_DATE('2013-09-30','YYYY-MM-DD');26;20;9;
6885124;425;5231;TO_DATE('2013-09-29','YYYY-MM-DD');26;20;5;
2637238;425;6496;TO_DATE('2013-10-02','YYYY-MM-DD');38;16;10;
1916437;425;5745;TO_DATE('2013-09-28','YYYY-MM-DD');38;16;5;
3434979;44;6356;TO_DATE('2014-02-15','YYYY-MM-DD');54;24;3;
6794311;44;4678;TO_DATE('2014-03-01','YYYY-MM-DD');54;24;2;
5691110;44;4632;TO_DATE('2014-02-28','YYYY-MM-DD');43;20;9;
2766100;44;4933;TO_DATE('2014-02-16','YYYY-MM-DD');43;20;3;
6522674;1627;5881;TO_DATE('2014-02-25','YYYY-MM-DD');54;24;6;
5859222;1627;5640;TO_DATE('2014-02-17','YYYY-MM-DD');43;20;5;
9772479;1627;5634;TO_DATE('2014-02-26','YYYY-MM-DD');43;20;4;
2921276;1961;6178;TO_DATE('2013-11-09','YYYY-MM-DD');22;17;4;
9879224;1814;5714;TO_DATE('2014-02-24','YYYY-MM-DD');2;22;3;
3481052;1814;6112;TO_DATE('2014-03-01','YYYY-MM-DD');60;29;10;
212435;1814;6099;TO_DATE('2014-02-20','YYYY-MM-DD');5;29;1;
6499508;1814;6130;TO_DATE('2014-03-05','YYYY-MM-DD');5;29;10;
3288008;1814;5350;TO_DATE('2014-02-22','YYYY-MM-DD');71;30;1;
2313823;628;6195;TO_DATE('2014-03-04','YYYY-MM-DD');2;22;1;
9760393;628;5931;TO_DATE('2014-02-19','YYYY-MM-DD');71;30;5;
796916;628;4764;TO_DATE('2014-03-03','YYYY-MM-DD');71;30;8;
6157488;528;6297;TO_DATE('2013-08-20','YYYY-MM-DD');11;26;7;
4551658;528;6057;TO_DATE('2013-08-27','YYYY-MM-DD');44;18;3;
6072754;528;5157;TO_DATE('2013-09-03','YYYY-MM-DD');9;11;8;
7546595;4007;5581;TO_DATE('2013-09-08','YYYY-MM-DD');42;13;7;
6607060;4007;5886;TO_DATE('2013-09-19','YYYY-MM-DD');29;11;3;
9061934;4007;4821;TO_DATE('2013-09-10','YYYY-MM-DD');20;16;1;
9758613;4007;5995;TO_DATE('2013-09-08','YYYY-MM-DD');42;13;6;
2044538;4007;5414;TO_DATE('2013-09-13','YYYY-MM-DD');12;18;4;
8820742;4007;6377;TO_DATE('2013-09-08','YYYY-MM-DD');12;18;7;
4677254;4007;4555;TO_DATE('2013-09-16','YYYY-MM-DD');20;16;5;
6765150;4007;5225;TO_DATE('2013-09-12','YYYY-MM-DD');42;13;4;
5409605;1617;6106;TO_DATE('2014-04-08','YYYY-MM-DD');27;27;3;
1633506;1617;5699;TO_DATE('2014-04-09','YYYY-MM-DD');27;27;7;
8824001;1617;5662;TO_DATE('2014-04-07','YYYY-MM-DD');27;27;6;
3941289;195;4723;TO_DATE('2013-12-10','YYYY-MM-DD');40;14;5;
5010079;195;5456;TO_DATE('2013-12-01','YYYY-MM-DD');40;14;5;
572743;195;4689;TO_DATE('2013-12-13','YYYY-MM-DD');40;14;2;
300908;2604;6436;TO_DATE('2013-07-10','YYYY-MM-DD');3;24;10;
7051753;2604;6234;TO_DATE('2013-07-10','YYYY-MM-DD');3;24;5;
8500932;2604;5995;TO_DATE('2013-07-15','YYYY-MM-DD');13;16;2;
3079024;2604;5331;TO_DATE('2013-07-08','YYYY-MM-DD');3;24;2;
100131;1721;4864;TO_DATE('2013-12-24','YYYY-MM-DD');12;24;4;
9868693;1721;5766;TO_DATE('2013-12-31','YYYY-MM-DD');56;17;6;
3506256;1721;5205;TO_DATE('2014-01-01','YYYY-MM-DD');17;21;7;
3093360;1913;5043;TO_DATE('2014-01-05','YYYY-MM-DD');55;27;2;
2306983;1913;4601;TO_DATE('2013-12-24','YYYY-MM-DD');55;27;6;
7496080;269;6303;TO_DATE('2014-03-10','YYYY-MM-DD');34;27;7;
1646381;112;5217;TO_DATE('2013-12-03','YYYY-MM-DD');67;10;6;
5129103;112;5219;TO_DATE('2013-12-10','YYYY-MM-DD');67;10;2;
9045289;3510;5607;TO_DATE('2013-04-19','YYYY-MM-DD');59;10;6;
4254162;3510;5583;TO_DATE('2013-05-03','YYYY-MM-DD');60;4;10;
5377532;3510;4969;TO_DATE('2013-04-26','YYYY-MM-DD');60;4;8;
9544873;3510;4628;TO_DATE('2013-04-20','YYYY-MM-DD');27;5;1;
726611;534;5088;TO_DATE('2013-05-03','YYYY-MM-DD');60;4;3;
