COD_BODEGA;COD_PEDIDO;TIPO_NOTIFICACION;MENSAJE_E_MAIL;
3018;7297585;'Balanceo Bodega';'La bodega con identificador 3018 está enviando productos a una nueva bodega.';
897;8827977;'Balanceo Bodega';'La bodega con identificador 897 está enviando productos a una nueva bodega.';
1213;7949032;'Cierre Bodega';'La bodega con identificador 1213 está en ampliacion.';
711;8142583;'Cierre Bodega';'La bodega con identificador 711 está en mantenimiento.';
425;3194164;'Cierre Bodega';'La bodega con identificador 425 está en ampliacion.';
44;5668910;'Cierre Bodega';'La bodega con identificador 44 está en ampliacion.';
1627;5668910;'Cierre Bodega';'La bodega con identificador 1627 está en mantenimiento.';
1961;9019520;'Balanceo Bodega';'La bodega con identificador 1961 está enviando productos a una nueva bodega.';
1814;5428461;'Cierre Bodega';'La bodega con identificador 1814 está en ampliacion.';
628;5428461;'Cierre Bodega';'La bodega con identificador 628 está en mantenimiento.';
528;5006524;'Cierre Bodega';'La bodega con identificador 528 está en ampliacion.';
4007;1618725;'Balanceo Bodega';'La bodega con identificador 4007 está enviando productos a una nueva bodega.';
1617;991477;'Cierre Bodega';'La bodega con identificador 1617 está en mantenimiento.';
195;9659238;'Balanceo Bodega';'La bodega con identificador 195 está enviando productos a una nueva bodega.';
2604;2767021;'Cierre Bodega';'La bodega con identificador 2604 está en mantenimiento.';
1721;7330253;'Cierre Bodega';'La bodega con identificador 1721 está en ampliacion.';
1913;3533146;'Cierre Bodega';'La bodega con identificador 1913 está en ampliacion.';
269;6063717;'Balanceo Bodega';'La bodega con identificador 269 está enviando productos a una nueva bodega.';
112;7266084;'Cierre Bodega';'La bodega con identificador 112 está en ampliacion.';
3510;9105973;'Balanceo Bodega';'La bodega con identificador 3510 está enviando productos a una nueva bodega.';
534;9105973;'Cierre Bodega';'La bodega con identificador 534 está en ampliacion.';
2361;9105973;'Balanceo Bodega';'La bodega con identificador 2361 está enviando productos a una nueva bodega.';
2378;2252995;'Balanceo Bodega';'La bodega con identificador 2378 está enviando productos a una nueva bodega.';
1336;6568980;'Balanceo Bodega';'La bodega con identificador 1336 está enviando productos a una nueva bodega.';
140;8571612;'Balanceo Bodega';'La bodega con identificador 140 está enviando productos a una nueva bodega.';
760;1414383;'Cierre Bodega';'La bodega con identificador 760 está en mantenimiento.';
2176;6207881;'Cierre Bodega';'La bodega con identificador 2176 está en mantenimiento.';
341;4286603;'Balanceo Bodega';'La bodega con identificador 341 está enviando productos a una nueva bodega.';
2538;9781205;'Cierre Bodega';'La bodega con identificador 2538 está en ampliacion.';
3725;9781205;'Cierre Bodega';'La bodega con identificador 3725 está en ampliacion.';
1492;9781205;'Cierre Bodega';'La bodega con identificador 1492 está en ampliacion.';
394;1696013;'Cierre Bodega';'La bodega con identificador 394 está en mantenimiento.';
1721;2702545;'Cierre Bodega';'La bodega con identificador 1721 está en ampliacion.';
83;9394009;'Cierre Bodega';'La bodega con identificador 83 está en mantenimiento.';
1094;6438743;'Cierre Bodega';'La bodega con identificador 1094 está en ampliacion.';
1587;7476826;'Cierre Bodega';'La bodega con identificador 1587 está en mantenimiento.';
2553;4018594;'Cierre Bodega';'La bodega con identificador 2553 está en mantenimiento.';
4451;9592868;'Cierre Bodega';'La bodega con identificador 4451 está en mantenimiento.';
97;1045227;'Balanceo Bodega';'La bodega con identificador 97 está enviando productos a una nueva bodega.';
3503;1965850;'Balanceo Bodega';'La bodega con identificador 3503 está enviando productos a una nueva bodega.';
3690;1965850;'Cierre Bodega';'La bodega con identificador 3690 está en ampliacion.';
4498;1965850;'Balanceo Bodega';'La bodega con identificador 4498 está enviando productos a una nueva bodega.';
2108;1278358;'Cierre Bodega';'La bodega con identificador 2108 está en ampliacion.';
3253;7240074;'Balanceo Bodega';'La bodega con identificador 3253 está enviando productos a una nueva bodega.';
601;9536880;'Cierre Bodega';'La bodega con identificador 601 está en ampliacion.';
4091;1818145;'Cierre Bodega';'La bodega con identificador 4091 está en ampliacion.';
2089;8102683;'Cierre Bodega';'La bodega con identificador 2089 está en ampliacion.';
203;2908014;'Balanceo Bodega';'La bodega con identificador 203 está enviando productos a una nueva bodega.';
2863;2908014;'Cierre Bodega';'La bodega con identificador 2863 está en ampliacion.';
1492;4605653;'Cierre Bodega';'La bodega con identificador 1492 está en ampliacion.';
2344;5155869;'Cierre Bodega';'La bodega con identificador 2344 está en mantenimiento.';
137;5155869;'Balanceo Bodega';'La bodega con identificador 137 está enviando productos a una nueva bodega.';
1538;1892256;'Cierre Bodega';'La bodega con identificador 1538 está en ampliacion.';
1399;4719792;'Cierre Bodega';'La bodega con identificador 1399 está en mantenimiento.';
1268;9059614;'Cierre Bodega';'La bodega con identificador 1268 está en mantenimiento.';
2067;8111762;'Balanceo Bodega';'La bodega con identificador 2067 está enviando productos a una nueva bodega.';
2596;9802350;'Balanceo Bodega';'La bodega con identificador 2596 está enviando productos a una nueva bodega.';
