COD_PEDIDO;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD_SOLICITADA;CANTIDAD_ENTREGADA
7018710;53;17;13;0;
7018710;58;16;10;0;
7018710;63;20;12;0;
3803904;1;16;4;4;
3803904;8;27;10;7;
3803904;26;29;11;1;
3803904;37;29;19;6;
4597003;22;16;20;20;
4597003;29;18;15;15;
4597003;58;29;3;3;
7297585;60;12;5;2;
9614683;2;30;18;18;
9614683;4;17;12;12;
9614683;62;22;14;14;
7083066;3;11;2;0;
7083066;18;22;12;0;
7083066;26;25;9;0;
7083066;45;19;16;0;
8827977;52;4;18;0;
2486849;2;4;14;14;
4388108;66;27;11;0;
8257529;70;9;6;0;
9084157;45;8;13;0;
8172674;15;20;18;18;
5269705;6;23;14;14;
5269705;47;15;16;16;
7949032;31;10;6;6;
4252112;2;16;7;0;
4252112;69;23;12;0;
6173510;27;28;19;19;
6173510;32;19;18;18;
9532342;7;21;7;0;
9532342;13;16;18;0;
9532342;30;18;4;0;
9532342;43;18;19;0;
6220574;72;10;19;0;
9957839;30;7;4;2;
9957839;48;9;4;4;
9957839;72;9;7;5;
9433546;10;20;14;0;
9433546;24;21;13;0;
9433546;34;25;3;0;
9433546;64;28;11;0;
4274647;6;27;3;0;
4274647;37;19;18;0;
4274647;41;11;5;0;
5148700;25;29;2;2;
5148700;30;16;11;11;
8142583;51;18;16;0;
8142583;61;18;17;0;
8142583;64;27;8;0;
8416415;36;20;6;6;
829761;2;12;16;0;
829761;8;28;13;0;
829761;53;27;14;0;
829761;54;13;8;0;
8793116;4;27;9;0;
8793116;13;25;18;0;
8793116;20;16;5;0;
8793116;27;24;7;0;
8793116;30;23;10;0;
1175183;67;2;20;0;
3184415;65;3;18;18;
3194164;24;28;12;0;
3194164;26;20;14;0;
3194164;38;16;12;0;
3194164;71;17;17;0;
1328534;60;16;10;0;
8431318;51;12;10;0;
8431318;57;15;12;0;
7091659;55;30;8;8;
3174707;70;2;13;4;
5668910;43;20;6;3;
5668910;54;24;12;8;
2739332;13;1;9;9;
2739332;24;1;4;4;
2739332;70;8;12;12;
4702298;2;24;10;10;
4702298;36;20;3;3;
4702298;48;27;6;6;
4702298;52;28;8;8;
4702298;68;16;5;5;
1770984;14;29;2;1;
1770984;16;23;5;4;
1770984;22;12;4;1;
1770984;40;18;19;6;
1770984;41;22;9;2;
2979124;31;30;19;0;
2979124;58;29;18;0;
2979124;60;15;7;0;
