NUMERO;COD_LOCAL;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD;FECHA;PRECIO;
1628108;5359;2;13;10;TO_DATE('2013-12-30','YYYY-MM-DD');265872;
7792279;5714;57;27;10;TO_DATE('2013-11-26','YYYY-MM-DD');89618;
840369;5854;68;10;19;TO_DATE('2013-10-03','YYYY-MM-DD');113815;
4623515;6033;5;16;10;TO_DATE('2013-10-22','YYYY-MM-DD');266251;
8151627;4945;71;7;10;TO_DATE('2013-05-07','YYYY-MM-DD');45984;
8728983;5785;69;4;11;TO_DATE('2013-04-23','YYYY-MM-DD');73182;
1876287;5307;49;14;12;TO_DATE('2014-04-07','YYYY-MM-DD');183104;
8622893;5964;64;18;5;TO_DATE('2013-08-08','YYYY-MM-DD');243556;
6614180;5603;72;5;9;TO_DATE('2013-05-24','YYYY-MM-DD');253671;
1513674;4878;7;24;17;TO_DATE('2014-02-23','YYYY-MM-DD');164967;
1581181;5045;69;2;6;TO_DATE('2013-09-18','YYYY-MM-DD');51391;
6302475;5876;57;16;7;TO_DATE('2013-10-18','YYYY-MM-DD');24209;
6565345;4861;69;4;16;TO_DATE('2013-05-28','YYYY-MM-DD');289337;
282622;5661;45;23;15;TO_DATE('2013-07-19','YYYY-MM-DD');252449;
6586705;4922;41;29;10;TO_DATE('2014-02-23','YYYY-MM-DD');162369;
1247003;4931;51;13;7;TO_DATE('2013-07-25','YYYY-MM-DD');147042;
8242037;5546;71;2;10;TO_DATE('2013-06-20','YYYY-MM-DD');141274;
1904335;5762;32;20;10;TO_DATE('2014-03-04','YYYY-MM-DD');79120;
5264439;5223;34;22;4;TO_DATE('2013-09-03','YYYY-MM-DD');193277;
9343425;5976;31;15;17;TO_DATE('2013-08-29','YYYY-MM-DD');39939;
7311197;6107;53;20;12;TO_DATE('2013-10-28','YYYY-MM-DD');106717;
7865819;6218;27;15;9;TO_DATE('2014-01-28','YYYY-MM-DD');254579;
5767823;5734;17;18;15;TO_DATE('2013-09-09','YYYY-MM-DD');50208;
4184019;6011;71;9;10;TO_DATE('2013-09-13','YYYY-MM-DD');41505;
2001217;6293;38;21;2;TO_DATE('2013-09-19','YYYY-MM-DD');55936;
4273268;4708;68;5;13;TO_DATE('2013-07-06','YYYY-MM-DD');278528;
430359;5708;72;1;8;TO_DATE('2013-09-24','YYYY-MM-DD');116796;
35580;5725;64;28;6;TO_DATE('2013-07-03','YYYY-MM-DD');13099;
5783091;4900;13;14;11;TO_DATE('2013-11-28','YYYY-MM-DD');60092;
3580016;5067;65;21;10;TO_DATE('2013-10-02','YYYY-MM-DD');61690;
7939527;5040;63;19;2;TO_DATE('2014-01-02','YYYY-MM-DD');45707;
955276;4684;68;4;12;TO_DATE('2013-06-18','YYYY-MM-DD');184483;
2504857;4887;6;17;3;TO_DATE('2013-05-05','YYYY-MM-DD');139591;
2041903;6439;25;16;3;TO_DATE('2014-02-19','YYYY-MM-DD');279382;
7092900;5610;55;11;10;TO_DATE('2014-03-30','YYYY-MM-DD');177225;
7278933;6440;72;2;5;TO_DATE('2013-08-06','YYYY-MM-DD');197299;
9720990;6067;67;4;19;TO_DATE('2014-02-26','YYYY-MM-DD');242436;
8835338;5802;66;22;8;TO_DATE('2013-06-20','YYYY-MM-DD');264517;
846091;6470;47;21;11;TO_DATE('2013-08-09','YYYY-MM-DD');286825;
965753;4519;62;16;20;TO_DATE('2013-09-19','YYYY-MM-DD');250937;
1700761;6430;67;7;7;TO_DATE('2013-07-16','YYYY-MM-DD');293136;
3354369;5098;69;3;18;TO_DATE('2013-08-25','YYYY-MM-DD');295776;
9168576;4705;67;7;2;TO_DATE('2013-11-04','YYYY-MM-DD');171213;
767053;4951;35;15;14;TO_DATE('2013-11-14','YYYY-MM-DD');234974;
889737;5917;55;11;18;TO_DATE('2013-07-31','YYYY-MM-DD');180294;
6815680;6026;70;9;9;TO_DATE('2013-05-05','YYYY-MM-DD');132662;
2449558;4997;67;5;10;TO_DATE('2014-03-09','YYYY-MM-DD');250777;
1154622;4979;69;4;19;TO_DATE('2014-04-13','YYYY-MM-DD');225201;
8921151;5228;51;16;20;TO_DATE('2014-04-10','YYYY-MM-DD');211039;
1913505;5464;68;3;20;TO_DATE('2013-11-08','YYYY-MM-DD');259522;
1195541;5530;68;8;16;TO_DATE('2013-07-12','YYYY-MM-DD');135510;
3718332;5037;22;16;5;TO_DATE('2013-11-15','YYYY-MM-DD');127563;
3564286;5445;49;18;10;TO_DATE('2013-07-13','YYYY-MM-DD');54142;
1879289;4615;60;23;4;TO_DATE('2013-09-11','YYYY-MM-DD');87683;
1116593;5052;61;27;7;TO_DATE('2014-01-05','YYYY-MM-DD');81112;
7161987;5752;71;8;15;TO_DATE('2013-08-09','YYYY-MM-DD');25627;
319531;5307;42;24;16;TO_DATE('2014-01-23','YYYY-MM-DD');284955;
4946027;5135;21;25;16;TO_DATE('2014-01-30','YYYY-MM-DD');157760;
7149556;4924;62;11;12;TO_DATE('2014-03-05','YYYY-MM-DD');276026;
7381396;5875;29;24;11;TO_DATE('2014-02-11','YYYY-MM-DD');203475;
4918189;5815;31;27;17;TO_DATE('2014-03-11','YYYY-MM-DD');257802;
862596;4625;64;28;4;TO_DATE('2014-01-24','YYYY-MM-DD');62683;
7773106;5892;55;22;19;TO_DATE('2013-11-12','YYYY-MM-DD');93723;
6205223;6424;63;30;9;TO_DATE('2013-10-13','YYYY-MM-DD');105876;
7823733;5787;38;26;10;TO_DATE('2013-07-26','YYYY-MM-DD');82699;
7780470;6466;52;28;14;TO_DATE('2014-04-13','YYYY-MM-DD');105809;
5872735;5103;68;3;7;TO_DATE('2013-06-06','YYYY-MM-DD');78373;
2476014;5634;21;11;6;TO_DATE('2014-02-26','YYYY-MM-DD');163898;
2347581;5568;65;30;10;TO_DATE('2013-07-13','YYYY-MM-DD');220730;
1125910;4556;54;23;3;TO_DATE('2014-01-04','YYYY-MM-DD');24782;
7316891;5505;51;23;4;TO_DATE('2014-04-19','YYYY-MM-DD');47013;
9536053;6500;67;3;14;TO_DATE('2013-05-30','YYYY-MM-DD');26520;
7217901;6127;41;19;14;TO_DATE('2013-08-04','YYYY-MM-DD');96287;
457466;6356;9;11;6;TO_DATE('2013-11-04','YYYY-MM-DD');52959;
3566899;5944;71;6;11;TO_DATE('2014-02-10','YYYY-MM-DD');241353;
7440434;5114;68;10;4;TO_DATE('2013-10-30','YYYY-MM-DD');237677;
7601591;6168;58;13;9;TO_DATE('2014-01-05','YYYY-MM-DD');23013;
3147596;5260;68;5;4;TO_DATE('2013-04-27','YYYY-MM-DD');154106;
2062598;5897;30;23;8;TO_DATE('2014-01-16','YYYY-MM-DD');46089;
6607238;5189;52;28;20;TO_DATE('2014-02-05','YYYY-MM-DD');83127;
3289054;4954;22;27;4;TO_DATE('2014-02-16','YYYY-MM-DD');193999;
8694842;5949;54;28;8;TO_DATE('2013-11-10','YYYY-MM-DD');65927;
5609480;5253;29;23;14;TO_DATE('2014-03-30','YYYY-MM-DD');179379;
1162646;5458;6;24;15;TO_DATE('2013-10-21','YYYY-MM-DD');15183;
235313;5648;59;14;10;TO_DATE('2014-01-13','YYYY-MM-DD');272031;
4827833;6368;29;25;4;TO_DATE('2013-04-19','YYYY-MM-DD');258077;
9476990;4612;48;30;6;TO_DATE('2013-10-22','YYYY-MM-DD');128509;
1207033;5794;47;19;1;TO_DATE('2014-03-02','YYYY-MM-DD');221020;
1780088;5460;60;25;8;TO_DATE('2014-03-06','YYYY-MM-DD');76538;
4175296;6339;70;6;8;TO_DATE('2013-10-05','YYYY-MM-DD');219010;
2659714;4887;27;15;15;TO_DATE('2013-08-04','YYYY-MM-DD');245292;
7421224;4805;51;18;17;TO_DATE('2013-12-15','YYYY-MM-DD');183863;
643506;6101;67;1;18;TO_DATE('2013-10-15','YYYY-MM-DD');211860;
5308588;6003;72;4;17;TO_DATE('2013-06-18','YYYY-MM-DD');214825;
9236750;6044;41;23;6;TO_DATE('2014-02-24','YYYY-MM-DD');87867;
1883943;6220;67;1;16;TO_DATE('2013-08-26','YYYY-MM-DD');240260;
729874;4642;22;22;19;TO_DATE('2014-01-02','YYYY-MM-DD');154737;
4285692;4712;56;22;11;TO_DATE('2013-10-10','YYYY-MM-DD');298213;
1313300;4803;69;3;6;TO_DATE('2013-08-03','YYYY-MM-DD');24721;
6390803;5284;18;15;17;TO_DATE('2013-10-16','YYYY-MM-DD');17737;
4674813;5438;42;11;19;TO_DATE('2013-07-10','YYYY-MM-DD');156790;
3083855;4522;62;26;9;TO_DATE('2014-01-03','YYYY-MM-DD');99355;
7286351;5409;70;7;4;TO_DATE('2013-06-18','YYYY-MM-DD');87657;
9371528;5893;60;21;5;TO_DATE('2013-10-31','YYYY-MM-DD');185991;
6168183;5505;58;17;7;TO_DATE('2013-06-21','YYYY-MM-DD');133834;
8598250;5202;62;19;15;TO_DATE('2013-09-13','YYYY-MM-DD');296975;
6466658;4871;69;8;7;TO_DATE('2013-09-01','YYYY-MM-DD');109455;
2889404;4656;57;27;3;TO_DATE('2013-12-23','YYYY-MM-DD');34769;
5439678;6396;72;4;19;TO_DATE('2013-12-12','YYYY-MM-DD');75100;
980870;5235;37;30;6;TO_DATE('2013-05-04','YYYY-MM-DD');46299;
9153930;5425;56;21;20;TO_DATE('2013-05-02','YYYY-MM-DD');62984;
8238949;5044;8;16;8;TO_DATE('2013-06-02','YYYY-MM-DD');79053;
9713855;5023;64;11;6;TO_DATE('2013-05-23','YYYY-MM-DD');260570;
7448611;5878;32;15;18;TO_DATE('2013-11-19','YYYY-MM-DD');147201;
8100565;4606;69;4;6;TO_DATE('2013-05-13','YYYY-MM-DD');76215;
6529009;4709;14;25;16;TO_DATE('2014-04-11','YYYY-MM-DD');225827;
6698755;5591;58;12;9;TO_DATE('2013-12-17','YYYY-MM-DD');98201;
592974;5885;54;17;2;TO_DATE('2014-01-22','YYYY-MM-DD');112986;
5234961;4775;59;22;14;TO_DATE('2013-05-11','YYYY-MM-DD');176307;
3025431;5271;13;18;17;TO_DATE('2013-11-23','YYYY-MM-DD');43239;
527794;5509;66;16;15;TO_DATE('2014-01-22','YYYY-MM-DD');170559;
7126671;5606;69;1;7;TO_DATE('2013-10-30','YYYY-MM-DD');161848;
7515434;4864;55;13;11;TO_DATE('2013-10-20','YYYY-MM-DD');23182;
8801651;5149;54;14;10;TO_DATE('2014-03-21','YYYY-MM-DD');153854;
5832081;6297;31;26;20;TO_DATE('2014-03-23','YYYY-MM-DD');80051;
8486618;5426;63;11;12;TO_DATE('2014-04-12','YYYY-MM-DD');89041;
5398468;6433;14;30;6;TO_DATE('2013-09-06','YYYY-MM-DD');34782;
3761836;4789;52;26;9;TO_DATE('2013-07-16','YYYY-MM-DD');298998;
9169195;4976;32;28;18;TO_DATE('2013-06-24','YYYY-MM-DD');188542;
9615896;5078;72;10;18;TO_DATE('2013-08-24','YYYY-MM-DD');239102;
2889162;4920;69;2;7;TO_DATE('2013-08-25','YYYY-MM-DD');129321;
4455779;4932;67;10;18;TO_DATE('2013-07-25','YYYY-MM-DD');240966;
3614648;4559;59;30;18;TO_DATE('2013-05-29','YYYY-MM-DD');53149;
6892299;5640;35;27;8;TO_DATE('2013-10-19','YYYY-MM-DD');282614;
5431937;5194;71;10;5;TO_DATE('2013-04-25','YYYY-MM-DD');200374;
5717962;4990;61;17;6;TO_DATE('2013-08-12','YYYY-MM-DD');25053;
