ID;COD_TIPO_PRODUCTO;NOMBRE;PESO;
1;1;'Acelga';3.2;
2;1;'Aguacate';6.5;
3;1;'Ajo';7.1;
4;1;'Apio';6.9;
5;1;'Banano';2.3;
6;1;'Breva';4.9;
7;1;'Brócoli';4.8;
8;1;'Calabaza';9.2;
9;1;'Cebolla';2.7;
10;1;'Cereza';8.4;
11;1;'Chirimoya';1.1;
12;1;'Cilantro';8.2;
13;1;'Ciruela';2.1;
14;1;'Coco';1.0;
15;1;'Cohombro';3.7;
16;1;'Coliflor';4.5;
17;1;'Curuba';0.9;
18;1;'Durazno';3.7;
19;1;'Espinaca';6.8;
20;1;'Feijoa';5.4;
21;1;'Frambuesa';3.5;
22;1;'Fresa';7.0;
23;1;'Granadilla';8.2;
24;1;'Guanábana';7.0;
25;1;'Guayaba';1.7;
26;1;'Kiwi';3.4;
27;1;'Lechuga';7.6;
28;1;'Limón';8.5;
29;1;'Lulo';6.1;
30;1;'Mandarina';8.5;
31;1;'Mango';4.5;
32;1;'Manzana';0.7;
33;1;'Maracuyá';2.6;
34;1;'Melón';9.2;
35;1;'Mora';0.9;
36;1;'Naranja';1.2;
37;1;'Papaya';1.6;
38;1;'Patilla';0.3;
39;1;'Pera';4.2;
40;1;'Perejil';9.4;
41;1;'Pimentón';0.1;
42;1;'Piña';3.0;
43;1;'Plátano';8.6;
44;1;'Rábano';9.0;
45;1;'Remolacha';4.9;
46;1;'Repollo';6.9;
47;1;'Tomate';4.3;
48;1;'Uva';6.8;
49;1;'Yuca';4.3;
50;1;'Zanahoria';8.4;
51;2;'Almendra';0.1;
52;2;'Alverja';9.1;
53;2;'Arroz';2.2;
54;2;'Avena';9.3;
55;2;'Café';3.0;
56;2;'Cebada';6.9;
57;2;'Centeno';3.4;
58;2;'Fríjol';4.8;
59;2;'Garbanzo';4.4;
60;2;'Haba';2.1;
61;2;'Lenteja';2.9;
62;2;'Maíz';5.2;
63;2;'Maní';7.9;
64;2;'Pasta';1.6;
65;2;'Soya';8.1;
66;2;'Trigo';6.8;
67;3;'Carne';1.3;
68;3;'Cerdo';9.4;
69;3;'Jamón';9.4;
70;3;'Mortadela';3.5;
71;3;'Pescado';1.6;
72;3;'Pollo';2.8;
