COD_LUGAR_ALMAC;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD;NUMERO_LOTE;FECHA_EXPIRACION_LOTE;PROMOCION_LOTE;
2;2;14;83;3253781;TO_DATE('2014-01-11','YYYY-MM-DD');0.0;
2;2;16;65;8699129;TO_DATE('2013-09-09','YYYY-MM-DD');0.0;
2;2;27;37;290600;TO_DATE('2014-03-11','YYYY-MM-DD');0.0;
2;5;14;117;9461033;TO_DATE('2014-02-22','YYYY-MM-DD');0.0;
2;5;20;143;4828162;TO_DATE('2013-05-13','YYYY-MM-DD');0.0;
2;5;21;157;8894673;TO_DATE('2013-07-18','YYYY-MM-DD');0.0;
2;5;24;144;4236855;TO_DATE('2013-07-12','YYYY-MM-DD');0.0;
2;5;26;143;5062970;TO_DATE('2013-05-18','YYYY-MM-DD');0.0;
2;6;13;10;9884792;TO_DATE('2013-05-28','YYYY-MM-DD');0.0;
2;6;17;79;9789272;TO_DATE('2013-04-30','YYYY-MM-DD');0.0;
2;6;25;170;2001037;TO_DATE('2013-05-30','YYYY-MM-DD');0.0;
2;6;28;134;5258273;TO_DATE('2014-04-11','YYYY-MM-DD');0.0;
2;7;20;10;9948851;TO_DATE('2013-12-13','YYYY-MM-DD');0.0;
2;7;24;31;2792311;TO_DATE('2013-10-31','YYYY-MM-DD');0.0;
2;7;25;147;3612320;TO_DATE('2014-03-29','YYYY-MM-DD');0.0;
2;7;26;12;6376327;TO_DATE('2013-09-18','YYYY-MM-DD');0.0;
2;7;28;139;6502807;TO_DATE('2013-09-14','YYYY-MM-DD');0.0;
2;7;29;51;901719;TO_DATE('2013-10-30','YYYY-MM-DD');0.0;
2;12;12;87;1266006;TO_DATE('2013-12-12','YYYY-MM-DD');0.0;
2;12;14;112;1930776;TO_DATE('2013-05-05','YYYY-MM-DD');0.0;
2;12;18;82;3796402;TO_DATE('2013-06-13','YYYY-MM-DD');0.0;
2;12;25;29;2130039;TO_DATE('2013-12-29','YYYY-MM-DD');0.0;
2;16;13;91;3237859;TO_DATE('2013-09-23','YYYY-MM-DD');0.0;
2;16;17;7;4645147;TO_DATE('2014-01-28','YYYY-MM-DD');0.0;
2;16;19;41;9339878;TO_DATE('2013-05-31','YYYY-MM-DD');0.0;
2;16;20;2;1870891;TO_DATE('2014-03-15','YYYY-MM-DD');0.0;
2;16;27;7;2088516;TO_DATE('2013-07-12','YYYY-MM-DD');0.0;
2;17;11;51;6018031;TO_DATE('2013-07-07','YYYY-MM-DD');0.0;
2;17;12;161;9645607;TO_DATE('2013-09-22','YYYY-MM-DD');0.0;
2;17;18;113;7736330;TO_DATE('2013-08-07','YYYY-MM-DD');0.0;
2;17;21;39;1207513;TO_DATE('2013-05-02','YYYY-MM-DD');0.0;
2;17;22;178;8528950;TO_DATE('2014-03-09','YYYY-MM-DD');0.0;
2;18;14;58;9533200;TO_DATE('2013-11-26','YYYY-MM-DD');0.0;
2;18;19;71;9151777;TO_DATE('2014-03-24','YYYY-MM-DD');0.0;
2;18;29;51;9734857;TO_DATE('2013-06-09','YYYY-MM-DD');0.0;
2;18;30;11;8181175;TO_DATE('2014-03-21','YYYY-MM-DD');0.0;
2;21;11;63;9777794;TO_DATE('2014-03-15','YYYY-MM-DD');0.0;
2;21;12;195;2502417;TO_DATE('2014-01-09','YYYY-MM-DD');0.0;
2;24;19;68;1980270;TO_DATE('2014-01-01','YYYY-MM-DD');0.0;
2;24;22;167;5092061;TO_DATE('2013-11-13','YYYY-MM-DD');0.0;
2;24;30;46;5901439;TO_DATE('2014-03-10','YYYY-MM-DD');0.0;
2;25;21;68;4496940;TO_DATE('2014-04-19','YYYY-MM-DD');0.0;
2;26;16;97;2328359;TO_DATE('2014-03-15','YYYY-MM-DD');0.0;
2;26;17;86;8633850;TO_DATE('2013-12-05','YYYY-MM-DD');0.0;
2;26;24;106;5707734;TO_DATE('2013-07-27','YYYY-MM-DD');0.0;
