COD_PRODUCTO;COD_PRESENTACION;PRECIO_AL_POR_MAYOR;PRECIO_AL_DETAL;
1;11;1172;1621;
1;12;2345;3087;
1;13;4690;4977;
1;14;9380;10611;
1;15;11725;16870;
1;16;23450;26650;
1;17;46900;56041;
1;18;93800;110922;
1;19;117250;159803;
1;20;234500;315619;
1;21;1172;1503;
1;22;2345;2894;
1;23;4690;6070;
1;24;9380;11042;
1;25;11725;14840;
1;26;23450;26528;
1;27;46900;65451;
1;28;93800;97953;
1;29;117250;165585;
1;30;234500;335395;
2;11;764;821;
2;12;1528;1667;
2;13;3056;4053;
2;14;6112;8562;
2;15;7640;9091;
2;16;15280;19046;
2;17;30560;33938;
2;18;61120;72075;
2;19;76400;82645;
2;20;152800;185735;
2;21;764;917;
2;22;1528;1590;
2;23;3056;4467;
2;24;6112;7417;
2;25;7640;8759;
2;26;15280;21830;
2;27;30560;38349;
2;28;61120;83457;
2;29;76400;104711;
2;30;152800;157728;
3;11;1260;1412;
3;12;2521;3213;
3;13;5042;6010;
3;14;10084;12655;
3;15;12605;15538;
3;16;25210;31719;
3;17;50420;67937;
3;18;100840;144148;
3;19;126050;153464;
3;20;252100;273897;
3;21;1260;1479;
3;22;2521;3130;
3;23;5042;6713;
3;24;10084;14939;
3;25;12605;13452;
3;26;25210;30914;
3;27;50420;56783;
3;28;100840;126069;
3;29;126050;160804;
3;30;252100;256931;
4;11;921;1122;
4;12;1842;2362;
4;13;3684;4937;
4;14;7368;9653;
4;15;9210;11209;
4;16;18420;26788;
4;17;36840;44919;
4;18;73680;79979;
4;19;92100;124419;
4;20;184200;195098;
4;21;921;1129;
4;22;1842;2545;
4;23;3684;4747;
4;24;7368;10719;
4;25;9210;13136;
4;26;18420;23271;
4;27;36840;49017;
4;28;73680;81885;
4;29;92100;135761;
4;30;184200;215936;
5;11;270;301;
5;12;540;691;
5;13;1080;1614;
5;14;2160;2873;
5;15;2700;3909;
5;16;5400;7464;
5;17;10800;12007;
5;18;21600;27531;
5;19;27000;29179;
5;20;54000;65419;
5;21;270;328;
5;22;540;740;
5;23;1080;1497;
5;24;2160;2550;
5;25;2700;2959;
5;26;5400;6037;
5;27;10800;14789;
5;28;21600;23804;
5;29;27000;37976;
5;30;54000;66995;
6;11;1369;1676;
6;12;2739;3111;
6;13;5478;7493;
6;14;10956;15234;
6;15;13695;17288;
6;16;27390;29981;
6;17;54780;62211;
6;18;109560;143693;
6;19;136950;156609;
6;20;273900;332240;
6;21;1369;1864;
6;22;2739;3011;
6;23;5478;6989;
6;24;10956;14547;
6;25;13695;15141;
6;26;27390;40449;
6;27;54780;57229;
6;28;109560;152780;
6;29;136950;154977;
6;30;273900;309930;
7;11;1456;1780;
7;12;2913;4293;
7;13;5826;7181;
7;14;11652;17176;
7;15;14565;20044;
7;16;29130;30854;
7;17;58260;79559;
7;18;116520;118424;
7;19;145650;193127;
7;20;291300;308293;
7;21;1456;1808;
7;22;2913;2916;
7;23;5826;7311;
7;24;11652;16273;
7;25;14565;21839;
7;26;29130;41434;
7;27;58260;67356;
7;28;116520;131699;
7;29;145650;146797;
7;30;291300;403441;
8;11;1231;1445;
8;12;2462;3299;
8;13;4924;5033;
8;14;9848;13787;
8;15;12310;14433;
8;16;24620;35766;
8;17;49240;70000;
8;18;98480;133248;
8;19;123100;136926;
8;20;246200;280908;
8;21;1231;1292;
8;22;2462;3415;
